X,Y,Original Slide label,Static Predicted Probability,Static predicted zone,LITHOLOGY,LULC11_12,LULC15_16,PANCHAYATH_CODE,PANCHAYATH_NAME,HAND,TPI,ASPEC,DRAIN_DEN,NDBI,NDVI,SPI,TRI,TWI,ELEVATION,PLANCU,PROFCU,RRELIEF,GW_IDW,LINEAMENT_DEN,ROAD_DEN,SLOPE,D_RAINFALL,SOIL_T,SOIL_DEPTH,SOIL_TEXTURE,VILLAGE_BLK
77.18460083,9.838139534,0,0.28452623,low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,5,3,2,4,3,3,3,1,2,6,6,4,1,6,2,2,4,2,Very deep,Clay,85
76.88800049,9.838780403,1,0.9912373,very high,Pink Granite Gneiss,Scrub Forest,Grassland - Temperate / Sub Tropical,1,Marayoor,2,4,7,2,4,3,4,3,2,9,5,5,3,1,1,2,5,5,2,Very deep,Clay,1
76.87940216,9.840600014,1,0.99835974,very high,Hornblende Gneiss,Scrub Forest,Grassland - Temperate / Sub Tropical,1,Marayoor,2,6,5,2,4,4,4,2,2,9,4,5,4,1,2,3,4,5,2,Very deep,Clay,1
76.8789978,9.840889931,1,0.997719,very high,Hornblende Gneiss,Scrub Forest,Grassland - Temperate / Sub Tropical,1,Marayoor,1,5,6,2,4,3,4,5,2,9,6,5,4,1,2,3,5,5,2,Very deep,Clay,1
77.16880035,9.841300011,1,0.74379283,high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,2,2,2,3,3,4,4,2,2,6,7,4,1,6,2,4,4,2,Very deep,Clay,85
76.88569641,9.841970444,1,0.8832516,very high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,3,3,5,2,2,4,4,4,2,10,6,6,3,1,2,2,1,5,1,Very deep,Clay,1
77.16049957,9.842309952,0,0.24354501,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,3,4,2,4,3,4,2,2,2,6,7,4,1,6,3,2,4,1,Very deep,Clay,85
76.96510315,9.84251976,1,0.9702331,very high,Hornblende Gneiss,Rural,Rural,1,Marayoor,1,6,3,2,3,4,2,2,1,7,6,5,4,1,3,1,1,5,2,Very deep,Clay,1
77.16049957,9.842530251,0,0.33793882,low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,6,5,2,4,3,2,2,1,2,5,5,4,1,6,2,1,4,2,Very deep,Clay,85
76.89420319,9.842740059,1,0.8101377,very high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,3,6,5,2,1,5,3,4,2,10,4,5,3,1,2,3,2,5,2,Very deep,Clay,1
76.88890076,9.843839645,1,0.8202477,very high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,4,7,6,2,2,4,2,3,1,10,6,4,3,1,2,3,2,5,2,Very deep,Clay,1
76.94319916,9.844829559,1,0.9222718,very high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,4,10,2,2,4,5,4,2,8,4,5,3,1,3,2,4,5,2,Very deep,Clay,1
76.88110352,9.846759796,1,0.98642206,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,5,8,2,4,3,4,5,2,9,5,5,3,1,2,3,5,5,2,Very deep,Clay,1
77.15940094,9.847149849,1,0.7884086,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,4,3,2,3,3,4,5,2,3,6,5,3,1,5,3,3,4,1,Very deep,Clay,85
76.95410156,9.847800255,1,0.9804864,very high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,3,7,2,2,4,5,4,3,9,5,6,4,1,2,2,3,5,2,Very deep,Clay,1
77.11669922,9.848329544,1,0.9807246,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,7,6,2,3,3,5,4,3,7,7,3,4,1,2,1,4,5,3,Very deep,Loam,1
77.16149902,9.848529816,1,0.84083474,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,3,6,4,2,3,3,1,3,1,3,4,4,3,1,6,3,3,4,1,Very deep,Clay,85
76.95240021,9.848540306,1,0.9934236,very high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,7,6,2,2,4,4,4,3,9,6,4,5,1,2,3,4,5,2,Very deep,Clay,1
76.94519806,9.850970268,1,0.9551563,very high,Pink Granite Gneiss,Scrub Forest,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,4,5,4,2,4,4,4,4,2,10,7,6,4,1,2,2,5,5,1,Very deep,Clay,1
76.94480133,9.851790428,0,0.20069392,very low,Pink Granite Gneiss,Deciduous Forest - Closed,Deciduous Forest - Closed,1,Marayoor,2,6,5,2,2,4,2,3,1,10,4,6,3,1,3,2,2,5,1,Very deep,Clay,1
76.97190094,9.852049828,1,0.99645424,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,3,5,5,2,2,4,2,5,1,8,6,6,4,1,2,1,4,5,2,Very deep,Clay,1
77.1556015,9.852100372,1,0.94063854,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,6,4,2,3,4,3,4,2,8,5,5,2,1,3,3,4,5,2,Very deep,Clay,85
76.96219635,9.852179527,1,0.99716777,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,3,6,5,2,2,5,3,3,1,8,7,5,4,1,2,2,5,5,2,Very deep,Clay,1
77.14710236,9.852390289,1,0.96976894,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,3,6,4,2,2,4,1,4,1,3,4,5,3,1,5,2,3,5,2,Very deep,Clay,1
